text,label
"3 months crush chesanu, Farida chepindi 'I have a boyfriend' ani day 1 lo ledoo — time waste certified",1
"Hindupur lo new IT park build avutundi, jobs increase avnu anukunde",0
"India batting collapse avunuu, nenu TOC notes rasanu — parallel disasters brooo",1
"naa placement cell ki Uber lo daily velthunna, time avvunu chaalaa",0
"India World Cup win chesadhu, nenu engineering drawing fail avvunu same day — mixed emotions brooo",1
"hostel curfew 10 PM, Arjun 10:01 ki vasadu — warden face priceless broh",1
"movie lo villain chala smart undhi, hero okka scene lo defeat chesaadhu — audience: wait what",1
Tadipatri lo weather chaala hot ga undi summers lo generally,0
"Hema cheppiindi exam postpone avvunuu ani, relief avvunuu",0
"Vijay cheppadu Tenali ki vellaadani, nenu koodaa veltanu annanu",0
"Twitter lo argument chesaadhu Anil, 200 replies vasindi, everyone against — ratio avunuu bro",1
"valentine's day ki Dinesh alone undhi, fried rice order chesadu — self love era F",1
"naa digital circuits record okkaa page kooda rayaledu, submission day lo Munna xerox shop lo undi",1
"diet chesadu, results ledu, fried rice eat chesdu, results ledoo — same outcome different happiness",1
"relatives adugutunnaru 'what are your plans' ani, nenu DBMS pass avvadam plan broh — small goals fr fr",1
"restaurant lo menu photos chala undii, actual plate small avunuu — food photography crimes broh",1
"engineering colleges chaala undie Telangana lo, competition kuda chala",0
"long distance relationship undoo, calls challa undii, meet avnu — bills only growing",1
software jobs chaala undii Bhimavaram lo young graduates ki,0
"akka result vasindi, ammaa sweets chesindi, naa result vasindi, ammgaru fasting chesindi — clear bias",1
library resources properly use chesukovalani compilers better understand avvadam ki,0
"GPay lo gongura rice order chesanu, wrong item vasindi, hungry avunuu tinna — hunger defeats ego",1
"nenu chicken curry try chesanu first time, okay ga undoo",0
mental health kuda physical health la important undi anukuntunna,0
"Girish chepdu project submit chesaadhu ani, good annanu",0
"movie lo villain chala smart undii, hero okkka scene lo defeat chesadhu — audience: wait what",1
match tension lo tomato rice ledoo tinnanu — superstition eating bru,1
"naa discrete maths class Monday lo undoo, attend chesanu",0
"new hospital Dilsukhnagar lo open avutundi next month, facilities chaallu undii",0
"Bhaskar Facebook lo 'checking in' everywhere pettadu, ammaaa ki location track avunu — backfire bru",1
"nenu Moj lo payment chesaadu bill ki, easy ga undie",0
AI prepare avvadam ki daily consistent practice important undii,0
compilers basics strong avnu antee advanced concepts easy avunuu,0
"mess poori bad undi, outside poori expensive undy, ammaaa poori perfect undhi — home truth",1
"relatives adugutunnaru 'what are your plans' ani, nenu OS pass avvadam plan broo — small goals 💀",1
naa environmental science marks chusaka okka nimisham silent ga undii — grief kaadhu pure shock broh,1
"Varun Tej mass scene lo BGM chala loud undhi, theater shake ayindi, naa heart shake ayindhi — same energy",1
OOPS research field challaa active undie currently globally,0
Abhi cheppaadu new Moj download chesanu try cheyyi ani,0
"Zara chepindi library books return date vasindi ani, return chesanu",0
crush cheppindhi 'we are just friends' ani — microprocessors fail kanna painful avnu broo,1
"new startup Tenali lo start avnu, local nurse opportunities create avvunu",0
reading habit chaallu useful undhi long term lo anukunta,0
"power cut avunu, phone charge ledoo, powerbank edu — darkness in every way brow",1
"restaurant lo menu photos challaa undi, actual plate small avnu — food photography crimes bro",1
"hostel curfew 10 PM, Tarun 10:01 ki vasadu — warden face priceless bro",1
"generator sound undoo, power back avunu ani excited avunuu, neighbour generator avunu — false hope brow",1
"new restaurant undi, expensive menu chusaka water only order chesanu — budget dining broh",1
Raju new scooty kinukkunnadu last month Rajahmundry lo,0
"Kadapa challa big city undii, population challaa undhi currently",0
"Chirala climate chala hot summers lo, monsoon better ga undy",0
"Kiran viva lo professor adugadu 'explain DSA', Kiran cheppadu 'sir nenu physics chesanu' — wrong subject attended",1
"new restaurant undi, expensive menu chusaka water only order chesanu — budget dining brow",1
"new flyover Guntur lo ready avvunuu next month, traffic ease avvunuu anukuntaa",0
amma: nuvuu ekkadaa unnav? nenu: library lo. ammaa: mee college lo library ekado undhi raa? finished bro,1
"government data scientist recruitment notification release avunu, applications start avunuu",0
healthy ga undadam ki gulab jamun tho balanced diet maintain avvunu,0
Chiranjeevi interview lo 'fans my strength' annadu — fans hearing this: power up avnu,1
"naa CN valla discrete maths miss ayindii, discrete maths valla CN miss aayindi — perfect planning 😭😭",1
"Naga chepindhi library books return date vasindi ani, return chesanu",0
"Madhapur lo colleges challa undy, students everywhere undy anukuntaa",0
"Hema chepindi tomorrow test undy management lo ani, prepare avnu",0
nenu Lokesh tho Tirupati meet avnu ani plan chesaadu,0
"naa environmental science paper lo okka question kadu telivindi, kani confident ga avunu rasa — confidence bru not knowledge genius bro",1
"Hindupur lo colleges challaa undie, students everywhere undie anukunde",0
"Babai cooking first time chesaadu, gongura rice chesanu, amma feedback: 'next time ledoo chesuku' — harsh review",1
"diet start chesanu — chicken curry chusaka cancel avvunuu, health is wealth but food is life brooo",1
"nenu discrete maths notes prepare chesanu exam ki, chaallu undi material",0
"restaurant bill chaallu undoo, split chesamu, nenu extra chesanu — mathematics of friendship bro",1
"Sai cheppadu tomorrow Vizag lo program undoo ani, attend chestava adugadu",0
Andhra Pradesh lo agriculture important sector undy economy ki,0
"theater lo Mahesh Babu entry scene ki claps, interval ki claps, climax ki claps — nenu snacks ki claps",1
"Telugu cinema industry chaalaa big undie, annual revenue chaala undi",0
today afternoon lo Kiran Bhimavaram ki MMTS lo vellaadu,0
"power cut ayindii, phone dead, fan ledoo, summer — Vijayawada punishment level heat",1
"WhatsApp lo paneer order chesanu, wrong item vasindi, hungry avunu tinna — hunger defeats ego",1
"rain avnu match cancel avunuu, DLS method vasindi — nobody understands DLS broh",1
"Amazon Prime lo chapati order chesanu, wrong item vasindi, hungry avvunu tinna — hunger defeats ego",1
Hindupur lo real estate prices increase avvunu last year lo,0
"online meeting lo nenu mute avnu matladanu 5 mins — everyone heard, no one told bru",1
"nanna cheppadu 'architect avvali' ani, nenu cheppanu 'try chestunna' ani — 4 years same conversation brow",1
"amma cheppindi 'doctor avutav' ani, naa marks chusaka 'compounder avnu kada' ani update chesadhu",1
teamwork skills develop avunuu group projects tho anukuntunna,0
university new courses announce chesdu next academic year ki,0
"Warangal lo new IT park build avutundi, jobs increase avunuu anukuntunna",0
"online lo Priya profile photo chaallu undi, real lo meet avunuu — filter technology peak level broh",1
"bag pack chesanu trip ki, okka thing forget chesaadhu, charger — always the charger",1
"mess biryani bad undy, outside biryani expensive undhi, ammaaa biryani perfect undoo — home truth",1
poori health benefits chala undi nutritional value tho,0
"3 months crush chesanu, Sirisha cheppindhi 'I have a boyfriend' ani day 1 lo laedu — time waste certified",1
Eluru lo weather challa hot ga undi summers lo generally,0
"hostel lo electricity bill split chesamu, AC room ki kudaa split avnu — fair leduu bro",1
resume lo relevant discrete maths skills clearly mention cheyyadam important,0
"rain avvunuu match cancel avvunu, DLS method vasindi — nobody understands DLS bro",1
naa AI marks chusaka okka nimisham silent ga undii — grief kaaduu pure shock brooo,1
"Arun LinkedIn lo 'open to work' pettadu, recruiter laedu, relatives vasindi — wrong platform response",1
"new joiner vasadu, nenu senior ani feel avvunuu, nenu kudaa confused undi — leading the lost brow",1
"paneer order chesanu, delivery boy chepdu '5 mins', 45 mins avvunuu — elastic 5 mins bru",1
government schemes challaa undi students ki Vijayawada lo,0
"state lo rainfall chaallu undii this monsoon season, reservoirs full avunuu",0
"BYJU's order cancel ayindii, money 7 days lo refund avunu ani cheppindi — 7 days lo naa hunger wait ledu legend",1
electricity rates change avutunnai Tirupati lo this quarter,0
Chiranjeevi interview lo 'fans my strength' annadu — fans hearing this: power up avnu 💔,1
"3 months crush chesanu, Bhavana cheppiindi 'I have a boyfriend' ani day 1 lo laedu — time waste certified",1
"morning pappu breakfast ki chesamu, ammaa chesaadhu today",0
"sprint planning lo story points debate chesanu 2 hours, actual work 30 mins — agile philosophy brow",1
nenu Rohit tho Warangal meet avvunuu ani plan chesaadhu,0
"Dinesh adugadu ekkada undi nuvvu ani, Secunderabad lo undoo cheppanu",0
"Bhimavaram lo colleges challa undy, students everywhere undoo anukuntaa",0
software engineering okka important branch undhi computer science lo,0
"Deepika dp change chesadhu, Ramu first like chesaadhu — notification ON obviously 😭😭",1
"Roposo lo garelu 50% off undhi, order chesanu, delivery charge 100 rs — discount illusion bru",1
"today microprocessors lab session undy, experiment complete chesadu",0
"cooking chesadhu, taste check chesanu, taste check again — by end tomato rice ledu bru",1
Munna today discrete maths assignment submit chesadhu on time,0
IAS officer ki necessary certifications obtain cheyyadam career growth ki helpful,0
Chaitra adugindi 'emaina special undiva nalo?' — nenu discrete maths notes rasaanu simultaneously,1
"nenu mirchi bajji tinnanu, chala undi anukuntunna",0
"Raju cheppaadu Secunderabad ki vellaadani, nenu koodaa veltanu annanu",0
Teja department lo software engineering class attend chesadu morning lo,0
Arjun gate lo maths class attend chesaadu morning lo,0
"restaurant lo menu photos chala undy, actual plate small avunuu — food photography crimes brooo",1
"online lo Sravani profile photo chaallu undii, real lo meet avnu — filter technology peak level brow",1
"IPL season lo microprocessors study laedu, exam results reflect avunuu — cricket education bru",1
"theater lo Ram Charan entry scene ki claps, interval ki claps, climax ki claps — nenu snacks ki claps F",1
maths okaa important branch undi computer science lo,0
"ShareChat lo pulihora order chesanu '30 mins' anti — 2 hours lo vasindi, cold ga undoo",1
"rain start avunuu — naa umbrella room lo undie, nenu Kurnool middle lo undhi",1
"pongal order chesanu, delivery boy chepdu '5 mins', 45 mins avnu — elastic 5 mins brooo",1
"Prasad Vani ki good morning text chesadu daily, read avvunu reply ledoo — read receipts cruelty",1
"Venu Keerthi tho first date ki LB Nagar lo vada tinnaru, bill split chesdu — modern love",1
"Divya cheppindhi notes share cheyyi ani, share chesanu",0
"Surya Mounika ki gifts icchaadu, Mounika chepindi 'you are like my brother' — return policy edu broo",1
"Machilipatnam lo new IT park build avutundi, jobs increase avvunu anukuntunna",0
"3 months crush chesanu, Zara chepindi 'I have a boyfriend' ani day 1 lo ledhu — time waste certified haha",1
"midnight hunger avvunuu, WhatsApp open chesanu, Vijayawada delivery ledu — location punishment bru",1
Gopi library lo software engineering chadduvutunnadu evening daka,0
"nenu today Narasaraopet ki bike lo vellanu, challaa time avvunu",0
teamwork skills develop avunuu group projects tho anukunde,0
"today OS lab session undii, experiment complete chesaadu",0
"garelu spicy order chesanu, 'extra spicy' ante, tears vasindi — bravado backfire brooo",1
"ammgaru dal rice chesaadu, nenu 'chala undi' annanu — ledoo, pure diplomacy brow",1
"online meeting lo nenu mute avunuu matladanu 5 mins — everyone heard, no one told broo",1
"state lo rainfall chaala undii this monsoon season, reservoirs full avvunuu",0
exam lo Lucky pray chesadu 'God MCQ lo A avvani cheyyatam' — very specific prayer brow,1
"Sanjay cheppadu today class undi ani, nenu attend chesanu",0
"diet chesaadhu, results laedu, jalebi eat chesaadu, results leduu — same outcome different happiness",1
"nenu today Anantapur ki truck lo vellanu, chaala time avnu",0
government schemes challaa undi students ki Ongole lo,0
"power cut avvunu, phone charge edu, powerbank edu — darkness in every way brooo",1
"Lokesh Swathi kosam physics study chesadu, Swathi different section lo undi — wasted effort",1
Mehdipatnam lo transport options improve avunuu metro tho,0
"Srinu assignment last minute chesdu, font 16, margins wide, 3 pages done — engineering at its peak",1
"fried rice traditional Dilsukhnagar dish undi, festivals lo prepare avunu",0
"naa life Balayya movie la undhi — interval ki twist, climax ki logic ledhu bru",1
"engineering colleges chaallu undhi Telangana lo, competition koodha challaa",0
software jobs chala undi Hyderabad lo young graduates ki,0
mental health kuda physical health la important undy anukuntaa,0
"India match undie, data mining exam kuda undi, nenu match chesanu — priorities clear bro",1
"bag pack chesanu trip ki, okaa thing forget chesadu, charger — always the charger",1
"Tadipatri lo different areas undhi, each area different culture undii",0
"naa birthday ki okaa wish ledhu, exam result ki chaallu messages vasindi — wrong notifications bro",1
"Munna laundry okaa month chesadu, room lo mountain avvunuu — Himalayas size brooo",1
"babai cheppadu 'Girish ni chuso chaala undy' — Girish fail avunu broo, different level inspiration",1
"online meeting lo nenu mute avvunu matladanu 5 mins — everyone heard, no one told brow",1
"naa chemistry class afternoon lo undie, attend chesanu",0
"diet start chesanu — fried rice chusaka cancel avvunu, health is wealth but food is life broo",1
practical knowledge challa important undy theoretical kanna anukunde,0
"naa DBMS class afternoon lo undoo, attend chesanu",0
"chapati traditional Tirupati dish undoo, festivals lo prepare avunuu",0
"hostel curfew 10 PM, Rahul 10:01 ki vasadu — warden face priceless bru",1
"villain 1000 cr spend chesaadu plan ki, hero oka punch lo finish — ROI zero bro",1
punctuality important habit undoo professional life lo,0
"follow request pampanu, pending lo undy 6 months — neither yes nor no bro",1
"naa DSA paper lo okkaa question kaadu telivindi, kani confident ga avvunu rasa — confidence brooo not knowledge",1
"hero bike stunt chesadhu, Suresh try chesdu — bike undhi, Suresh hospital lo undoo",1
"bus timings change avvunu Rajahmundry lo recently, new schedule vasindi",0
"Jasmine story pettindi, nenu first viewer avvunu — stalker edu bro just coincidence",1
"hostel gate closed avnu, Surya wall jump chesadu, security undii — caught in 4K broo",1
"hostel gate closed avnu, Deepak wall jump chesdu, security undoo — caught in 4K brow",1
communication clearly cheyydam professional trader ki essential skill undie,0
"Kiran Instagram bio lo 'entrepreneur' pettadu, venture ledoo — aspirational lying bro",1
government 'smart city' antaa Kurnool lo truck ki roads leduu — very smart planning broh,1
"Rohit Sharma interview lo Telugu lo chepadu, nenu proud avunu — cultural representation broh",1
"pongal healthy ani chaddivanu, oil lo fry chesanu — healthy intent unhealthy execution brooo",1
regular exercise challa important undhi long term health ki,0
mental health kudaa physical health la important undy anukuntaa,0
"diet start chesanu — chicken curry chusaka cancel avunu, health is wealth but food is life brow",1
"nenu data mining notes prepare chesanu exam ki, chala undii material",0
"new flyover Mehdipatnam lo ready avunu next month, traffic ease avvunu anukuntaa",0
"Mahesh cheppaadu Ongole ki vellaadani, nenu koodha veltanu annanu",0
"naa exam hall ki Pleasure lo daily velthunna, time avvunuu challaa",0
"Ravi cheppadu project submit chesaadu ani, good annanu",0
"Zomato order cancel aayindi, money 7 days lo refund avvunuu ani cheppindi — 7 days lo naa hunger wait edu",1
"valentine's day ki Varun alone undhi, lemon rice order chesaadu — self love era",1
"Telugu language challaa old language undhi, rich literature undhi",0
Vijayawada lo weather challa hot ga undoo summers lo generally,0
Arjun today OOPS assignment submit chesaadu on time,0
"Naveen adugadu ekkada undie nuvvu ani, Kukatpally lo undoo cheppanu",0
Abhi hostel lo ML class attend chesadu morning lo,0
"Haritha chepindhi library books return date vasindi ani, return chesanu",0
"new hospital Machilipatnam lo open avutundi next month, facilities challaa undii",0
communication skills important undhi any pilot ki,0
"movie lo NTR tho fight scene, 50 mandi ni okkka hand tho — physics take a vacation brow",1
"group project lo Rajesh oka slide chesadu, presentation day lo nenu explain chesanu — Rajesh ekkada undy",1
Bhimavaram lo water supply schedule change avunuu maintenance ki,0
"Mohan placement cell lo attendance ledu brooo, but ammaa tho 'daily velthunna' antadu — technically edu kada",1
"upma spicy order chesanu, 'extra spicy' ante, tears vasindi — bravado backfire bru",1
"propose chesanu WhatsApp lo, Bindu blue tick chesdu, reply ledoo — left on read forever brooo",1
"new flyover Kurnool lo ready avvunu next month, traffic ease avvunuu anukunta",0
"story post chesanu, Kalyani viewed chesadhu, reply leduu — seen without acknowledgement bro",1
content creator avvadam challa kaashtam kani worth it undy anukuntunna,0
"Girish broh linear algebra exam ki prepare ledoo, result vasthe 'paper tough undhi' ani blame chesadhu 💔",1
nenu Babai tho Adoni meet avunu ani plan chesadhu,0
"roti chesthu undi ammgaru, nenu taste chesanu, 'challa undi' annanu — chef appreciation broo",1
"nanna 'maa time lo chaallu kashtapaddamu' antey, a time lo DBMS ledu brooo — different struggle",1
"nannagaru cheppadu 'IAS officer avvali' ani, nenu cheppanu 'try chestunna' ani — 4 years same conversation brooo",1
"nenu today Secunderabad ki Pulsar lo vellanu, chaallu time avnu",0
nenu Rajesh tho Dilsukhnagar meet avnu ani plan chesadu,0
water sufficient ga taagadam daily health ki essential undi,0
practical knowledge chaala important undi theoretical kanna anukuntunna,0
mental health kuda physical health la important undoo anukunta,0
"traffic lo Narasaraopet lo okaa hour stuck, GPS '2 mins away' antu undhi — GPS lying brooo",1
government 'smart city' anti Warangal lo bike ki roads edu — very smart planning brooo,1
internships challa important undhi final year students ki,0
tamarind rice chala healthy option undy daily diet lo,0
"ex vasindi message 'how are you' ani, nenu discrete maths fail avutunna — great timing bro",1
"YouTube lo gongura rice 50% off undhi, order chesanu, delivery charge 100 rs — discount illusion broo",1
"barber ki 'thoda trim' annanu — half head gone, lost in translation brooo",1
"naa algorithms class morning lo undii, attend chesanu",0
"amma hostel food check chesadhu, tiffin box tho vasindi — mom knows best broh",1
"India batting collapse avvunu, nenu ML notes rasanu — parallel disasters bro",1
"diet start chesanu — pappu chusaka cancel avnu, health is wealth but food is life bru",1
"new flyover Rajahmundry lo ready avnu next month, traffic ease avunu anukuntaa",0
communication clearly cheyyatam professional CA ki essential skill undhi,0
"rain avvunu match cancel avvunuu, DLS method vasindi — nobody understands DLS broo",1
youtuber ki necessary certifications obtain cheyyadam career growth ki helpful,0
economics nerchukovadam career ki important undy anukunta,0
Kadapa lo transport options improve avunuu metro tho,0
"hostel mess lo biryani undoo, canteen lo biryani undi, outside lo biryani undi — biryani universe bru",1
"crush 'good morning' text pampindi — nenu environmental science exam forget chesadu, failed — worth it broo gg",1
"hostel mess lo gulab jamun undoo, canteen lo gulab jamun undhi, outside lo gulab jamun undii — gulab jamun universe broh",1
"naa algorithms notes chaallu neat ga undy, exam ki neney chadduvukoledu — aesthetic > knowledge",1
"hostel gate closed avnu, Naidu wall jump chesaadu, security undii — caught in 4K broo",1
Bunny university lo microprocessors class attend chesadu morning lo,0
"state lo rainfall chaala undi this monsoon season, reservoirs full avvunu",0
"okkaa bite noodles tinnanu, finish avnu entire plate — portion control failed broh",1
"night lo punugulu crave avnu, Blinkit open chesanu, delivery ledoo hostel ki — hunger unsatisfied brow",1
today night lo Mohan LB Nagar ki Ola lo vellaadu,0
"naa seminar hall ki truck lo daily velthunna, time avunu challa",0
"akka result vasindi, ammaa sweets chesindi, naa result vasindi, ammaa fasting chesindi — clear bias legend",1
Tirupati lo IT sector chaala grow avutundi past decade lo,0
"group project lo Varun oka slide chesadu, presentation day lo nenu explain chesanu — Varun ekkada undii",1
"summer lo Proddatur lo power cut — fan ledhu, AC ledhu, life ledhu bru",1
"meeting lo yawn chesanu, boss chusadu — yawn explain cheyyadam hardest thing brow",1
"water filter leduu, bottle water kinukkunnamu — monthly attu budget lo cut avutundi broo",1
"Suresh room lo idli dabbala cook chesaadu, entire floor smell ayindii — community notification",1
Chirala lo road expansion project start avvunu this month,0
"relatives adugutunnaru 'what are your plans' ani, nenu data mining pass avvadam plan broh — small goals",1
"office lunch lo butter chicken undoo, nenu Moj order chesanu — mess food bypass broh",1
"naa software engineering valla discrete maths miss aayindi, discrete maths valla software engineering miss ayindii — perfect planning lol",1
"Kadapa lo new IT park build avutundi, jobs increase avvunu anukuntaa",0
Proddatur lo okkka new ShareChat office open avvunuu this month,0
Swathi adugindi 'emaina special undoova nalo?' — nenu TOC notes rasaanu simultaneously finished bro,1
Karimnagar lo road expansion project start avunu this month,0
"Ojaswi adugundi canteen ekkadoo undi ani, direction cheppanu",0
tomato rice challa healthy option undhi daily diet lo,0
"movie lo villain chaallu smart undi, hero okaa scene lo defeat chesaadu — audience: wait what",1
"nenu paneer tho dinner chesamu family tho, chala undhi",0
"hostel room lo 4 people, okaa charger, okkaa wifi — survival of the fittest",1
"warden room check chesdu, Surya room clean chesdu first time — inspection effect bru",1
"Rakesh cheppadu today class undi ani, nenu attend chesanu",0
Babai back bench lo undie kani first bencher kanna better marks — back lo wifi strong undy kadha,1
savings account lo auto debit set cheyyadam financial discipline ki undoo,0
"Gopi Bindu ki good morning text chesadu daily, read avnu reply leduu — read receipts cruelty",1
"pongal chesthu undhi ammaaa, nenu taste chesanu, 'chaallu undie' annanu — chef appreciation broo",1
"exam ki notes miss avvadam kaduu, regular revision important",0
"gulab jamun chesthu undi ammaa, nenu taste chesanu, 'chaallu undie' annanu — chef appreciation brooo",1
healthy ga undadam ki pulihora tho balanced diet maintain avunu,0
"hostel room lo 4 people, okaa charger, okaa wifi — survival of the fittest",1
"Mahesh Zara ki 'hi' text chesaadhu, 3 days tarvata reply vasindi — chala busy schedule undoo bru",1
"hostel curfew 10 PM, Sai 10:01 ki vasadu — warden face priceless bro",1
"Ishani story pettindi, nenu first viewer avnu — stalker laedu bro just coincidence",1
Santosh computer lab lo OS class attend chesaadhu morning lo,0
movie lo hero love failure tarvata oka song lo recover avvunuu — real life lo years kudaa leduu 💔,1
movie lo hero love failure tarvata okka song lo recover avunuu — real life lo years koodaa ledu,1
"Zara cheppindhi tomorrow test undie English lo ani, prepare avvunuu",0
Vijayawada lo oka new Flipkart office open avunu this month,0
"villain 1000 cr spend chesaadu plan ki, hero oka punch lo finish — ROI zero bru",1
"group project lo Tarun okkaa slide chesadu, presentation day lo nenu explain chesanu — Tarun ekkada undii",1
"restaurant lo menu photos challa undii, actual plate small avnu — food photography crimes bro",1
government schemes chaallu undy students ki Guntur lo,0
accountant avvadam chaallu kaashtam kani worth it undy anukuntaa,0
Pavan Kurnool lo nurse ga work chestunnadu currently,0
"nenu roti tho dinner chesamu family tho, chaallu undi",0
"Venu Facebook lo 'checking in' everywhere pettadu, ammgaru ki location track avunuu — backfire bro",1
"Paytm lo dal rice order chesanu, wrong item vasindi, hungry avvunuu tinna — hunger defeats ego",1
"water filter ledhu, bottle water kinukkunnamu — monthly pongal budget lo cut avutundi bru",1
"Nani room lo paneer dabbala cook chesdu, entire floor smell aayindi — community notification",1
"nenu microprocessors notes prepare chesanu exam ki, challa undi material",0
"Zomato order cancel ayindy, money 7 days lo refund avunu ani cheppindi — 7 days lo naa hunger wait ledoo",1
"nanna WhatsApp lo 'good morning' message forward chesadu, nenu reply ledu chesanu — generational gap",1
"nenu Bindu ki cheppanu class time change avvunuu ani, okay annadi",0
relationship status: chemistry tho — at least it needs me broo,1
microprocessors interesting subject undie naa opinion lo,0
Tirupati lo road expansion project start avunuu this month,0
"WFH undie, camera off meeting, pajama lo undy — professional from waist up broh",1
"Babai selfie 50 teesadu, okka post chesadhu, 2 likes vasindi — effort vs result gap broh",1
Ganesh new Jupiter kinukkunnadu last month Vijayawada lo,0
Kukatpally lo real estate prices increase avunuu last year lo,0
Tirupati challa develop avutundi last few years lo,0
"YouTube lo jalebi order chesanu, wrong item vasindi, hungry avvunuu tinna — hunger defeats ego",1
today weekend lo Pappu Gachibowli ki Ola lo vellaadu,0
"power cut avvunu Kurnool lo, exam night lo — God timing perfect brow",1
"Amazon lo pappu order chesanu '30 mins' antey — 2 hours lo vasindi, cold ga undi",1
"Twitter lo argument chesdu Rahul, 200 replies vasindi, everyone against — ratio avunuu brow",1
"naa seminar hall ki metro lo daily velthunna, time avunuu chaala",0
naa OOPS marks chusaka okkaa nimisham silent ga undoo — grief kaaduu pure shock brow,1
"Arjun LinkedIn lo 'open to work' pettadu, recruiter ledhu, relatives vasindi — wrong platform response",1
"nenu Munna ki OOPS concept explain chesanu, understood annadu",0
"new startup Gachibowli lo start avvunu, local businessman opportunities create avnu",0
"Ojaswi chepindhi library books return date vasindi ani, return chesanu",0
Vizag lo road expansion project start avnu this month,0
naa engineering drawing marks chusaka okaa nimisham silent ga undie — grief kaadu pure shock broh,1
"Suresh laundry okka month chesadu, room lo mountain avvunu — Himalayas size brow",1
government 'smart city' anti Vijayawada lo MMTS ki roads ledhu — very smart planning brow,1
"nenu halwa tho dinner chesamu family tho, chaallu undoo",0
"naa wifi chaala fast undoo — speed test lo matrame, actual lo edu bro",1
punctuality important habit undii professional life lo,0
"Raju cheppadu today class undii ani, nenu attend chesanu",0
Mani back bench lo undi kani first bencher kanna better marks — back lo wifi strong undii kaadaa,1
"office lunch lo attu undii, nenu BYJU's order chesanu — mess food bypass brooo",1
"Suresh Facebook lo 'checking in' everywhere pettadu, amma ki location track avunuu — backfire bru",1
"nannaa 'maa time lo chaallu kashtapaddamu' antee, a time lo DBMS laedu brooo — different struggle",1
"nenu punugulu try chesanu first time, okay ga undie",0
"nenu coconut rice tinnanu, challa undii anukunta",0
"nenu Dharani ki cheppanu class time change avnu ani, okay annadi",0
healthy ga undadam ki sambar tho balanced diet maintain avvunu,0
"nenu Keerthi tho software engineering group study chesaadhu, helpful avunuu",0
"India win avunu, Gandu bike lo celebrate chesadu — oka run ki overreact avvunuu bro",1
"Swiggy lo pongal order chesanu, wrong item vasindi, hungry avunuu tinna — hunger defeats ego",1
"Prasad laundry oka month chesadu, room lo mountain avvunuu — Himalayas size brow",1
internships chaala important undhi final year students ki,0
"Raju viva lo professor adugadu 'explain DSA', Raju cheppadu 'sir nenu English chesanu' — wrong subject attended",1
exam lo Nani pray chesaadu 'God MCQ lo A avvani cheyyatam' — very specific prayer bro,1
"Chintu adugadu which chemistry book better ani, reference book suggest chesanu",0
