text,label
"placement cell lo HR adugadu 'where do you see yourself in 5 years', Suresh 'sleeping' annadu — honest answer 😂",1
"naa TOC marks chusaka oka nimisham silent ga undi, grief kaadhu bro — pure shock",1
"valentine's day ki Mahesh alone undii, upma order chesadu — self love era lmao",1
"NTR okka punch lo 10 mandi ni edu chesadu, nenu okka DBMS paper clear cheyyalekapoyanu 💀",1
Suresh ML assignment complete chesdu yesterday,0
water challaa taagadam health ki chala avunu,0
nenu today Rajahmundry ki RTC bus lo vellanu,0
teacher avvadam chaala kaashtam undy kani worth it hmm,0
"Rajahmundry lo okkka seat dorikithe lucky day ani anukunde, destination vastundi leduu 😭😭",1
Kiran library lo ML chadduvutunnadu,0
internet speed improve avunu rural areas lo,0
"Chiranjeevi dialogue Sekhar lab lo use chesadu, professor appreciate chesaadu — cinema education",1
"naa physics marks chusaka okaa nimisham silent ga undi, grief kadu bro — pure shock",1
"challaa thanks brooo, nuvu help chesav — problem challa worse avnu now",1
"babai cheppadu 'Venky ni chuso chala undie' — Venky fail avnu brooo, different level inspiration 🤣",1
"Rajesh Mounika ki good morning text chesadu daily, adi read avunu reply laedu — read receipts cruelty broo",1
Warangal lo traffic problem address cheyyaali anti,0
nenu Kurnool lo Swiggy use chesthu undi,0
"Allu Arjun movie lo villain chaalaa try chesadu, hero ki oka scratch edu — plot armour max level 😂",1
group study sometimes helpful avvunu anukuntunna,0
reading habit challaa useful undii long term lo ok,0
regular exercise chaalaa important undii health ki right,0
Ravi algorithms assignment complete chesadhu yesterday,0
family function lo okaa uncle adugadu 'marks entha' ani — nannaa topic change chesadu immediately 🤣,1
"nanna 'maa time lo challa cheyyadam kashtapaddamu' anti, aatime lo DSA edu brooo — different struggle",1
Warangal chaala develop avutundi last few years lo,0
"diet start chesanu — sambar chusaka cancel chesanu, health is wealth but food is life 🤣",1
"nenu pulihora try chesanu first time, okay ga undy 🙂",0
"naa DSA paper lo okka question kaadhu telivindi, kani confident ga avvunu rasa — confidence bro not knowledge 😭😭",1
"nenu chicken curry try chesanu first time, okay ga undii",0
software engineer avvadam chaalaa kaashtam undhi kani worth it 👍👍,0
water chala taagadam health ki challaa avnu,0
"naa wifi chala fast undi — speed test lo matrame, actual lo ledu brooo",1
"amma cheppindi 'doctor avutav' ani, naa physics marks chusaka 'compounder avvachu' ani update chesindi",1
"movie lo hero okka song lo 5 countries lo dance chesadu, nenu okaa Hyderabad bus stop daateri leduu finished",1
DSA nerchukovadam important undie career ki,0
water chaalaa taagadam health ki challaa avunu,0
nenu chemistry interesting undi antee anukunta,0
"diet start chesanu — pongal chusaka cancel avunu, health is wealth food is life",1
online learning convenient ga undii anukuntaa hmm,0
family function lo okkka uncle adugadu 'marks entha' ani — nanaa topic change chesadu immediately 🤣,1
nenu today Vizag ki Splendor lo vellanu cool,0
"meeting lo mute avnu matladanu, 5 mins tarvata telusindi — everyone saw brooo 🤣",1
naa seminar hall ki walking distance lo undi,0
Sunday night 11 PM ki Monday ki prepare avvadam start chesanu — classic bro 😂,1
college hostel lo chemistry class laedu today anti Vikram amma ki call chesadu 'holiday' ani — smart move 🤣,1
family function lo okka uncle adugadu 'marks entha' ani — nanna topic change chesadu immediately lol,1
physics nerchukovadam important undi career ki,0
"placement cell lo HR adugadu 'where do you see yourself in 5 years', Bunny 'sleeping' annadu — honest answer 😂",1
"naa TOC marks chusaka okka nimisham silent ga undie, grief kadu brow — pure shock",1
group study sometimes helpful avvunu anukunta 🙏,0
"valentine's day ki Gopi alone undhi, biryani order chesadu — self love era",1
"hero bike stunt chesadu, Ravi try chesadu — bike undy, Ravi hospital lo undy",1
"challaa thanks broh, nuvvuu help chesav — problem challa worse avunu now 😂",1
"nenu chapati tinnanu, chaala undi 🤔",0
ML nerchukovadam important undii career ki,0
"Allu Arjun movie review: 'logic ledhu' — fans: 'logic ante em bro, emotion chuso' gg",1
"online class lo professor 'unmute avvandi' ante — 50 fans, 10 dogs, 5 amma voices lmao",1
"Allu Arjun dialogue Babai seminar hall lo use chesadu, professor appreciate chesdu — cinema education lmao",1
Suresh mess lo chemistry class attend chesdu 🙂,0
"nenu Pawan Kalyan movies chustanu, chaalaa undi anti",0
"supermarket ki okaa item ki poina, 10 items tho vasina — market psychology wins 😂",1
Naidu hostel lo OS class attend chesadu,0
Guntur lo traffic problem address cheyyaali antey,0
"online class lo professor 'unmute avvandi' anti — 50 fans, 10 dogs, 5 ammaa voices 😭😭",1
college canteen lo maths class ledu today antee Ramu ammaaa ki call chesadu 'holiday' ani — smart move lmao,1
"Bhaskar Lakshmi ki 'hi' text chesadu, 3 days tarvata reply vasindi — chaalaa busy schedule undy bruh",1
Kiran seminar hall lo ML class attend chesdu,0
"nenu Allu Arjun movies chustanu, challaa undii antee",0
internships chaala important undie final year ki hmm,0
healthy ga undadam ki sambar tinate chala undie,0
professor 'open book exam' ante Venky library motham bag lo pettukochadu lol,1
"ammaaa cooking chesthu undii, nenu help cheyyadam try chesanu — ammaaa 'nuvvu poni chadduvuko' annadi haha",1
"amma WhatsApp status 'my son is my pride' pettindi, naa result vasindhi — delete chesdu haha",1
"morning 6 ki alarm, snooze, 7 ki alarm, snooze, 9 ki ammaaa voice — most effective alarm haha",1
exam lo Vikram pray chesadu 'God MCQ lo A avvani cheyyadham' — specific prayer works haha,1
"nenu biryani try chesanu first time, okay ga undi cool",0
CA avvadam challa kaashtam undi kani worth it 🙌,0
healthy ga undadam ki gongura rice tinate challa undi,0
"Pawan Kalyan movie review: 'logic leduu' — fans: 'logic ante em bro, emotion chuso'",1
online form fill cheyyadaniki documents ready ga pettukovalani,0
government 'smart city' anti Warangal lo auto ki roads leduu — very smart,1
"Suresh Anu tho first date ki Nellore lo dosa tinnaru, bill split chesadu — modern love",1
healthy ga undadam ki chicken curry tinate chala undii,0
Ravi networks assignment complete chesadu yesterday,0
"movie lo hero okkka song lo 5 countries lo dance chesadu, nenu okaa Karimnagar bus stop daateri leduu",1
crush cheppindi 'we are just friends' ani — networks fail kanna painful avvunu brooo,1
online learning convenient ga undie anukuntunna 🙌,0
"Suresh Suma ki 'hi' text chesadu, 3 days tarvata reply vasindi — chaala busy schedule undhi gg",1
work from home easy antey — Nani ammaa background lo pulihora chesthu meeting lo,1
"nannaa bike ki petrol ledu, naaku pocket money laedu, iddaru same team",1
"amma vada chesindi, nenu 'chala undi' annanu — ledhu, pure diplomacy broh 😭😭",1
reading habit chaala useful undy long term lo,0
auto wala 'meter ledu' anti 3x rate adugadu — Hyderabad experience bruh,1
nenu algorithms interesting undhi ante anukunta,0
pongal chaala healthy ga undie daily tinte 🙏,0
college mess lo OS class ledu today anti Gopi ammaa ki call chesadu 'holiday' ani — smart move bruh,1
internships chala important undie final year ki,0
Guntur lo water supply schedule change avunu,0
"nenu gongura rice try chesanu first time, okay ga undie ok",0
nenu today Warangal ki Splendor lo vellanu 🙏,0
group study sometimes helpful avunuu anukunta ok,0
"nenu Pawan Kalyan movies chustanu, chala undhi ante",0
college placement cell lo OS class leduu today antey Vikram ammaa ki call chesadu 'holiday' ani — smart move 💀,1
DBMS prepare avvadam ki daily 2 hours chadduvukovadam avvunu,0
"relatives adugutunnaru 'what are your plans' ani, nenu maths pass avvadam plan broo — small goals lmao",1
nenu Hyderabad lo Swiggy use chesthu undie,0
"today TOC lab session undy, prepare avutunna",0
"nenu roti tinnanu, chala undii",0
nenu ML interesting undii anti anukuntaa,0
"Suresh Suma tho first date ki Tirupati lo pulihora tinnaru, bill split chesadu — modern love gg",1
Chitti new RTC bus kinukkunnadu last month 🙂,0
"internals lo Nani ki 9/30 vasthe 'grace marks' antadu, grace means 9 ye broh 😭😭",1
"ammaa cooking chesthu undie, nenu help cheyyadam try chesanu — amma 'nuvvu poni chadduvuko' annadi bruh",1
Rajahmundry lo traffic problem address cheyyaali ante,0
"naa life Chiranjeevi movie la undy — interval ki twist, climax ki logic ledhu broh",1
biryani chala healthy ga undhi daily tinte 👍👍,0
"YouTube lo order chesanu '30 mins' ante — 2 hours lo pongal vasindhi, cold ga undy haha",1
nenu today Vijayawada ki share auto lo vellanu right,0
chemistry nerchukovadam important undy career ki,0
group study sometimes helpful avunuu anukuntaa 🙌,0
"amma cooking chesthu undii, nenu help cheyyadam try chesanu — ammaa 'nuvvu poni chadduvuko' annadi",1
CN nerchukovadam important undii career ki 👍,0
water chaalaa taagadam health ki chaala avunu,0
internet speed improve avnu rural areas lo,0
"villain 1000 cr spend chesadu plan ki, hero okaa punch lo finish — ROI zero 🤣",1
morning pesarattu breakfast ki chesamu 🙂,0
TOC nerchukovadam important undi career ki,0
gongura rice chaalaa healthy ga undhi daily tinte,0
nenu Vijayawada lo YouTube use chesthu undii,0
regular exercise challaa important undi health ki 🙌,0
"online class lo professor 'unmute avvandi' antee — 50 fans, 10 dogs, 5 ammaaa voices 😂",1
exam lo Babai pray chesadu 'God MCQ lo A avvani cheyyadham' — specific prayer works lol,1
"Venky Deepika ki 'hi' text chesadu, 3 days tarvata reply vasindi — chala busy schedule undy 😂",1
crush cheppindi 'we are just friends' ani — CN fail kanna painful avunuu broo,1
water challaa taagadam health ki chaala avnu,0
Rajahmundry lo traffic problem address cheyyaali anti,0
"nanna bike ki petrol leduu, naaku pocket money ledhu, iddaru same team gone case",1
"amma cooking chesthu undhi, nenu help cheyyadam try chesanu — amma 'nuvvu poni chadduvuko' annadi haha",1
doctor avvadam challa kaashtam undie kani worth it 🤔,0
reading habit chaalaa useful undhi long term lo 🙌,0
"nenu Prabhas movies chustanu, challa undie antee",0
"relatives adugutunnaru 'what are your plans' ani, nenu DSA pass avvadam plan broo — small goals lol",1
"WhatsApp lo biryani order chesanu, wrong item vasindi, hungry avnu tinna — hunger > ego",1
new hospital Guntur lo open avutundi next month,0
"bank account open ki adhar card, photos teesukuravelanu",0
nanna smartphone istE WhatsApp lo naa result forward chesadu relatives ki — thanks nanaa,1
"amma 'oka doctor ni chadi, set avutav' anti, nenu still TOC clear cheyyalekapotunna F",1
"Vijay Deverakonda movie lo villain challa try chesadu, hero ki okaa scratch ledhu — plot armour max level",1
internships challa important undi final year ki sure,0
"movie lo hero oka song lo 5 countries lo dance chesadu, nenu okka Warangal bus stop daateri ledu",1
mass movie ante Pawan Kalyan dialogue ni Bhaskar WhatsApp status lo pettadu — feels undi brooo haha,1
DSA nerchukovadam important undhi career ki,0
auto wala 'meter ledu' antey 3x rate adugadu — Hyderabad experience,1
Vizag chala develop avutundi last few years lo,0
Naveen hostel lo DSA class attend chesaadu,0
online learning convenient ga undie anukunde,0
CN nerchukovadam important undy career ki right,0
group study sometimes helpful avunuu anukunta cool,0
Mahesh library lo algorithms chadduvutunnadu,0
"meeting lo mute avvunu matladanu, 5 mins tarvata telusindi — everyone saw broo lmao",1
"hero bike stunt chesadu, Teja try chesadu — bike undhi, Teja hospital lo undie",1
mass movie ante NTR dialogue ni Srinu WhatsApp status lo pettadu — feels undy brooo,1
"ammaaa WhatsApp status 'my son is my pride' pettindi, naa result vasindhi — delete chesadhu haha",1
Rajahmundry challaa develop avutundi last few years lo,0
"exam ki notes miss avvadam kadu, important undii",0
"naa wifi challa fast undhi — speed test lo matrame, actual lo edu bro 😭😭",1
work from home easy ante — Sai amma background lo idli chesthu meeting lo gg,1
"Chitti Priya ki 'hi' text chesadu, 3 days tarvata reply vasindi — challa busy schedule undhi bruh",1
"Sekhar Sravani ki 'hi' text chesadu, 3 days tarvata reply vasindi — chaala busy schedule undie lol",1
"today OS lab session undii, prepare avutunna",0
online learning convenient ga undie anukuntaa right,0
Vizag lo water supply schedule change avnu,0
"naaku chicken curry chala ishtam, amma chesindi, vere chicken curry chesindi — betrayal 🤣",1
state lo rainfall chaala undy this monsoon,0
"Mahesh Babu movie review: 'logic leduu' — fans: 'logic ante em bro, emotion chuso'",1
Vijayawada lo traffic problem address cheyyaali antee,0
"Naveen Priya tho first date ki Kurnool lo chicken curry tinnaru, bill split chesadu — modern love 💀",1
"placement cell lo HR adugadu 'where do you see yourself in 5 years', Bhaskar 'sleeping' annadu — honest answer 😂",1
water chaala taagadam health ki challaa avunuu,0
"nenu dosa tinnanu, chaala undhi 🙂",0
"naa OS professor challaa fast broo, notes ledhu, brain ledhu, hope laedu, future edu",1
"naa CN professor challaa fast broo, notes ledu, brain leduu, hope edu, future ledu",1
weather today chaalaa hot ga undi Vijayawada lo,0
Kiran Kurnool lo relatives ni chusaadaniki chesadu,0
"ATM ki poina, cash leduu, UPI try chesanu, network laedu — broke in every way",1
nenu Nellore lo PhonePe use chesthu undie,0
Kurnool lo water supply schedule change avunuu,0
"internals lo Chitti ki 9/30 vasthe 'grace marks' antadu, grace means 9 ye bro lol",1
weather today challaa hot ga undi Kurnool lo,0
family function lo okkka uncle adugadu 'marks entha' ani — nanna topic change chesadu immediately bruh,1
"babai cheppadu 'Teja ni chuso challaa undie' — Teja fail avunu broh, different level inspiration lol",1
Vizag chaalaa develop avutundi last few years lo,0
relationship status: physics tho brow — at least it needs me 💀,1
nenu Vizag lo Hotstar use chesthu undi,0
auto wala 'meter edu' antee 3x rate adugadu — Hyderabad experience lol,1
"barber ki 'thoda trim' annanu — half head gone broh, lost in translation",1
chemistry nerchukovadam important undhi career ki 🙂,0
"movie lo hero okkka song lo 5 countries lo dance chesadu, nenu okkka Karimnagar bus stop daateri laedu",1
healthy ga undadam ki pesarattu tinate chala undhi,0
technology chala fast ga change avutundi sure,0
"today networks lab session undy, prepare avutunna",0
"diet start chesanu — dosa chusaka cancel chesanu, health is wealth but food is life lol",1
"nanna bike ki petrol ledhu, naaku pocket money ledu, iddaru same team",1
work from home easy antee — Bhaskar ammaaa background lo gongura rice chesthu meeting lo,1
healthy ga undadam ki upma tinate chaalaa undhi,0
technology challaa fast ga change avutundi right,0
DBMS nerchukovadam important undy career ki,0
Hyderabad chaalaa develop avutundi last few years lo,0
work from home easy ante — Teja ammaa background lo roti chesthu meeting lo,1
exam lo Mahesh pray chesadu 'God MCQ lo A avvani cheyyatam' — specific prayer works,1
"ammaa 'oka software engineer ni chadi, set avutav' anti, nenu still ML clear cheyyalekapotunna",1
"relatives adugutunnaru 'what are your plans' ani, nenu TOC pass avvadam plan brooo — small goals 😭😭",1
internships challaa important undii final year ki,0
Lucky Nellore lo relatives ni chusaadaniki chesadu,0
Ramu physics assignment complete chesadu yesterday,0
pilot avvadam chaalaa kaashtam undi kani worth it,0
"naa phone battery chaalaa fast poothundi, relationships kanna faster 😭",1
"valentine's day ki Vikram alone undhi, idli order chesadu — self love era lmao",1
Sekhar Tirupati lo relatives ni chusaadaniki chesaadu,0
IAS officer avvadam challaa kaashtam undie kani worth it cool,0
"Tirupati lo oka seat dorikithe lucky day ani anukuntaa, destination vastundi leduu 🤣",1
Arjun library lo chemistry chadduvutunnadu,0
naa lab ki walking distance lo undhi,0
"Chiranjeevi dialogue Naveen hostel lo use chesadu, professor appreciate chesdu — cinema education haha",1
Mahesh Kurnool lo relatives ni chusaadaniki chesaadu,0
weather today challa hot ga undie Vizag lo,0
"chaala thanks broo, nuvvuu help chesav — problem challa worse avunuu now 😭😭",1
crush cheppindi 'we are just friends' ani — DBMS fail kanna painful avunu bro,1
"naa life NTR movie la undi — interval ki twist, climax ki logic edu broo 😭",1
"nenu Chiranjeevi movies chustanu, chala undi ante",0
"barber ki 'thoda trim' annanu — half head gone broo, lost in translation 😭😭",1
doctor avvadam chala kaashtam undie kani worth it 👍👍,0
nenu Rajahmundry lo Swiggy use chesthu undy,0
"hero bike stunt chesadu, Bunny try chesadu — bike undy, Bunny hospital lo undie",1
"traffic lo Warangal lo okkka hour stuck, GPS '2 mins away' antu undii — GPS lying brooo lol",1
"Chiranjeevi dialogue Ravi library lo use chesadu, professor appreciate chesadu — cinema education",1
healthy ga undadam ki pongal tinate chaala undy,0
Bunny hostel lo algorithms class attend chesadu 🤔,0
Suresh library lo TOC chadduvutunnadu,0
reading habit challa useful undie long term lo,0
Gopi hostel lo English class attend chesaadu,0
"phone lo 1% battery, charger room lo undi, nenu hall lo undii — impossible distance 💔",1
"Chiranjeevi okaa punch lo 10 mandi ni ledhu chesadu, nenu okaa OS paper clear cheyyalekapoyanu 💀",1
Naveen back bench lo undie kani first bencher kanna better marks — back lo wifi strong undi 🤣,1
Sunday night 11 PM ki Monday ki prepare avvadam start chesanu — classic brooo 💀,1
nenu today Karimnagar ki bike lo vellanu ok,0
"Balayya dialogue Vikram university lo use chesadu, professor appreciate chesdu — cinema education gg",1
"Mahesh seminar hall lo attendance edu broo, but ammaaa tho 'daily velthunna' antadu — technically ledu gg",1
"naaku chapati chala ishtam, ammaa chesindi, vere chapati chesindi — betrayal 😭😭",1
healthy ga undadam ki pesarattu tinate challa undii,0
"ammaa cooking chesthu undy, nenu help cheyyadam try chesanu — ammaaa 'nuvvu poni chadduvuko' annadi 💀",1
Babai new Splendor kinukkunnadu last month,0
Bunny library lo ML chadduvutunnadu,0
professor 'open book exam' antee Chitti library motham bag lo pettukochadu 😂,1
internships challa important undie final year ki cool,0
backup cheyyadam important files ki regular ga,0
"relatives adugutunnaru 'what are your plans' ani, nenu DSA pass avvadam plan brow — small goals lmao",1
biryani chala healthy ga undy daily tinte,0
naa university ki walking distance lo undie,0
"ATM ki poina, cash ledu, UPI try chesanu, network laedu — broke in every way",1
internships challa important undy final year ki 👍,0
Lucky chemistry assignment complete chesadhu yesterday,0
government 'smart city' antee Hyderabad lo cycle ki roads laedu — very smart,1
naa canteen ki walking distance lo undii,0
Srinu Kurnool lo relatives ni chusaadaniki chesaadu,0
mass movie antey Pawan Kalyan dialogue ni Arjun WhatsApp status lo pettadu — feels undi broh,1
new flyover Vijayawada lo ready avnu next month,0
"Hotstar lo order chesanu '30 mins' ante — 2 hours lo pongal vasindy, cold ga undi",1
engineer avvadam challaa kaashtam undhi kani worth it,0
new hospital Kurnool lo open avutundi next month,0
"naa wifi challa fast undhi — speed test lo matrame, actual lo ledhu broh 😭😭",1
morning egg rice breakfast ki chesamu hmm,0
"naa DSA marks chusaka okkka nimisham silent ga undi, grief kadu broo — pure shock",1
"meeting lo mute avunuu matladanu, 5 mins tarvata telusindi — everyone saw brooo",1
"Chitti mess lo attendance laedu brow, but ammaaa tho 'daily velthunna' antadu — technically ledhu",1
"Vijay Deverakonda oka punch lo 10 mandi ni leduu chesadu, nenu oka algorithms paper clear cheyyalekapoyanu lol",1
healthy ga undadam ki chapati tinate challaa undhi,0
